"Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","Location","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","ML.Catalog.Numbers"
"CHK-0025","Cooper's Hawk","Astur cooperii",8278,"1","US-MA","Local Park","2026-05-18","06:05 AM","eBird - Traveling Count",72,1,0.974,NA,1,"",NA
"CHK-0024","Cooper's Hawk","Astur cooperii",8278,"1","US-MA","Local Park","2026-05-20","06:51 AM","eBird - Traveling Count",66,1,0.931,NA,1,"",NA
"CHK-0040","Cooper's Hawk","Astur cooperii",8278,"2","US-MA","Local Park","2026-06-03","09:58 AM","eBird - Traveling Count",68,1,0.947,NA,1,"",NA
"CHK-0001","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2025-09-12","01:22 PM","eBird - Traveling Count",74,1,2.059,NA,1,"",NA
"CHK-0002","Red-tailed Hawk","Buteo jamaicensis",8506,"3","US-MA","Local Park","2026-02-11","09:27 AM","eBird - Traveling Count",35,1,0.795,NA,1,"",NA
"CHK-0005","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-04-09","09:52 AM","eBird - Traveling Count",71,1,1.51,NA,1,"",NA
"CHK-0007","Red-tailed Hawk","Buteo jamaicensis",8506,"2","US-MA","Local Park","2026-04-11","03:32 PM","eBird - Traveling Count",59,1,1.747,NA,2,"",NA
"CHK-0006","Red-tailed Hawk","Buteo jamaicensis",8506,"2","US-MA","Local Park","2026-04-13","09:59 AM","eBird - Traveling Count",60,1,1.624,NA,2,"",NA
"CHK-0010","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-01","01:09 PM","eBird - Traveling Count",50,1,1.07,NA,1,"",NA
"CHK-0014","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-05","09:27 AM","eBird - Traveling Count",66,1,1.051,NA,1,"",NA
"CHK-0015","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-08","06:22 AM","eBird - Traveling Count",70,1,0.981,NA,1,"",NA
"CHK-0016","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-08","09:42 AM","eBird - Traveling Count",61,1,1.015,NA,1,"",NA
"CHK-0017","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-09","06:47 AM","eBird - Traveling Count",63,1,0.974,NA,1,"",NA
"CHK-0018","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-11","09:42 AM","eBird - Traveling Count",70,1,0.838,NA,1,"",NA
"CHK-0023","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-19","09:54 AM","eBird - Traveling Count",71,1,1.072,NA,1,"",NA
"CHK-0028","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-20","09:51 AM","eBird - Traveling Count",64,1,0.933,NA,1,"",NA
"CHK-0030","Red-tailed Hawk","Buteo jamaicensis",8506,"1","US-MA","Local Park","2026-05-22","10:05 AM","eBird - Traveling Count",66,1,0.917,NA,1,"",NA
