"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","gbbgul","Great Black-backed Gull","Larus marinus",3.53,0,2.77,0,"breeding","06-21",4.274,"1 of 14","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","glagul","Glaucous Gull","Larus hyperboreus",0,0,0.01,0,"unidentified","02-01",0.01729,NA,"Coasts:  Cliffs and Islands","Wetlands:  Tundra"
"Massachusetts","gloibi","Glossy Ibis","Plegadis falcinellus",0.02,0,0,0.01,"breeding","06-28",0.03582,"11 of 14","Coasts:  Saltmarsh","Wetlands:  Freshwater Marsh"
"Massachusetts","gnwtea","Green-winged Teal","Anas crecca",0,0.01,0,0.01,"prebreeding_migration","03-29",0.0313,NA,"Wetlands:  Generalist",NA
"Massachusetts","gockin","Golden-crowned Kinglet","Regulus satrapa",0.01,0.24,0.38,0.36,"prebreeding_migration","04-12",0.6166,"27 of 27","Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","graspa","Grasshopper Sparrow","Ammodramus savannarum",0.01,0.01,0,0.01,"postbreeding_migration","09-13",0.02343,"40 of 40","Grasslands:  Temperate",NA
"Massachusetts","grbher3","Great Blue Heron","Ardea herodias",0.52,0.36,0.1,0.34,"breeding","06-07",0.5905,"39 of 49","Wetlands:  Generalist","Coasts:  Saltmarsh"
"Massachusetts","grcfly","Great Crested Flycatcher","Myiarchus crinitus",0.6,0.34,0,0.37,"breeding","07-26",0.6883,"31 of 39","Forests:  Temperate Eastern",NA
"Massachusetts","grecor","Great Cormorant","Phalacrocorax carbo",0,0,0.01,0.01,"nonbreeding","03-15",0.01832,NA,"Coasts:  Cliffs and Islands","Coasts:  Marine Waters"
"Massachusetts","greegr","Great Egret","Ardea alba",0.02,0.01,0,0.01,"postbreeding_migration","09-13",0.02651,"33 of 38","Wetlands:  Generalist","Coasts:  Saltmarsh"
"Massachusetts","gresca","Greater Scaup","Aythya marila",0,0.16,0.57,0.09,"nonbreeding","12-27",0.7971,NA,"Wetlands:  Tundra",NA
"Massachusetts","greyel","Greater Yellowlegs","Tringa melanoleuca",0.01,0.12,0,0.08,"postbreeding_migration","11-01",0.4005,"8 of 8","Wetlands:  Boreal",NA
"Massachusetts","grhowl","Great Horned Owl","Bubo virginianus",0.2,0.2,0.2,0.2,"resident","year round resident",NA,"36 of 49","Open Country:  Habitat Mosaic",NA
"Massachusetts","grnher","Green Heron","Butorides virescens",0.34,0.14,0,0.26,"prebreeding_migration","05-17",0.5125,"27 of 42","Wetlands:  Freshwater Marsh",NA
"Massachusetts","grycat","Gray Catbird","Dumetella carolinensis",2.46,1.96,0.12,1.59,"postbreeding_migration","08-09",2.761,"12 of 46","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Massachusetts","gycthr","Gray-cheeked Thrush","Catharus minimus",0,0.01,0,0,"prebreeding_migration","05-24",0.09062,NA,"Forests:  Boreal",NA
"Massachusetts","haiwoo","Hairy Woodpecker","Dryobates villosus",0.38,0.38,0.38,0.38,"resident","year round resident",NA,"40 of 49","Forests:  Generalist",NA
"Massachusetts","harduc","Harlequin Duck","Histrionicus histrionicus",0,0.04,0.03,0.02,"postbreeding_migration","11-15",0.2504,NA,"Wetlands:  Lakes and Rivers","Coasts:  Beach and Estuary"
"Massachusetts","hergul","Herring Gull","Larus argentatus",0.48,0.56,1.52,0.42,"nonbreeding","12-27",1.722,"5 of 19","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","herthr","Hermit Thrush","Catharus guttatus",0.13,0.46,0.29,0.28,"prebreeding_migration","04-12",1.586,"21 of 27","Forests:  Temperate Generalist",NA
"Massachusetts","hoomer","Hooded Merganser","Lophodytes cucullatus",0.25,0.8,2.71,1.79,"prebreeding_migration","03-08",4.622,"12 of 29","Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Massachusetts","hoowar","Hooded Warbler","Setophaga citrina",0.01,0,0,0,"prebreeding_migration","05-17",0.01245,"27 of 27","Forests:  Temperate Eastern",NA
"Massachusetts","horgre","Horned Grebe","Podiceps auritus",0,0.27,0.66,0.19,"prebreeding_migration","03-29",1.163,NA,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","horlar","Horned Lark","Eremophila alpestris",0,0,0.02,0.01,"postbreeding_migration","11-22",0.03277,NA,"Grasslands:  Temperate","Tundra:  Arctic"
"Massachusetts","houfin","House Finch","Haemorhous mexicanus",0.25,0.25,0.25,0.25,"resident","year round resident",NA,"28 of 49","Open Country:  Habitat Mosaic","Aridlands:  Desert Scrub"
"Massachusetts","houspa","House Sparrow","Passer domesticus",0.02,0.02,0.02,0.02,"resident","year round resident",NA,"32 of 39","Open Country:  Developed/Disturbed",NA
"Massachusetts","houwre","House Wren","Troglodytes aedon",0.09,0.06,0,0.04,"postbreeding_migration","09-13",0.1418,"29 of 42","Forests:  Generalist","Open Country:  Developed/Disturbed"
"Massachusetts","hudgod","Hudsonian Godwit","Limosa haemastica",0,0.01,0,0,"postbreeding_migration","08-09",0.0585,NA,"Wetlands:  Boreal",NA
"Massachusetts","indbun","Indigo Bunting","Passerina cyanea",0.13,0.09,0,0.09,"prebreeding_migration","05-24",0.167,"33 of 40","Forests:  Temperate Eastern",NA
"Massachusetts","killde","Killdeer","Charadrius vociferus",0.11,0.08,0,0.11,"postbreeding_migration","10-11",0.2129,"42 of 48","Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Massachusetts","kinrai4","King Rail","Rallus elegans",0.01,0,0,0,"breeding","06-28",0.01721,"17 of 17","Wetlands:  Freshwater Marsh",NA
"Massachusetts","laugul","Laughing Gull","Leucophaeus atricilla",0.45,1.06,0,0.11,"postbreeding_migration","09-13",2.122,"13 of 19","Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Massachusetts","lbbgul","Lesser Black-backed Gull","Larus fuscus",0.01,0.03,0.01,0.01,"postbreeding_migration","09-20",0.08042,"5 of 5","Coasts:  Beach and Estuary","Coasts:  Marine Waters"
